prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	context_mask	chunk_summary	group_summary	section_summary
	Engine Oil Dipstick	-1	234	12	1	0		35	1	Engine Oil Dipstick		
	Engine/Compressor Drive Belt	-1	234	12	1	0		35	1	Engine/Compressor Drive Belt		
	Alternator Belt	-1	234	12	1	0		35	1	Alternator Belt		
	Belt Tension	-1	234	12	1	0		35	1	Belt Tension		
	½ Twist ONLY	-1	234	12	1	0		35	1	½ Twist ONLY		
	When inspecting the plastic bowl on the fuel separator, look for any type of color difference which would indicate that there is water condensation or water in the jerry/fuel can. If this is the case, unscrew the drain cock and eliminate the water until the color is uniform.  Close the drain cock securely but do not over tighten.  Dispose of the drained water and contaminated fuel appropriately. DO NOT ALLOW water to enter the engine.  Check the fuel/water separator before use of the Power Unit. If excess water is seen in the plastic bowl separator, remove the fuel from the fuel container and re-fill with fresh, uncontaminated fuel.  If problem persists, contact CLS.	-1	235	12	1	0		35	0	If there is excess water in the fuel separator, remove it from the fuel container and re-fill with fresh, uncontaminated fuel. CLS recommends that you flush out the fuel/water separater before use of the Power	If there is excess water in the fuel separator, remove it from the fuel container and re-fill with fresh, uncontaminated fuel. CLS recommends that you flush out the fuel/water separater before use of the Power	
	Open the top engine access panel. Perform the following checks:	-1	236	12	1	0		35	0	Open the top engine access panel. Perform the following checks:	Open the top engine access panel. Perform the following checks:	
1.	Check the antifreeze reservoir. The antifreeze level must be between the low and full marks on the reservoir. Add antifreeze to the reservoir if necessary.	2	237	12	1	0		35	0	Check the antifreeze reservoir. The antifreeze level must be between the low and full marks on the reservoir. Add antifreeze to the reservoir if necessary.	Antifreeze level must be between the low and full marks on reservoir. Remove compressor air filter cap and filter if dusty, then clean and replace a filter - or blow off an air filter with compressed gas 'no need to clean engine oil' check engine alternator fan belt for fraying, cuts or other physical defects ; contact CLS if any problems are encountered! Click here to get started. Back to mail online home /contact	
2.	Remove compressor air filter cap and filter. Now the engine air filter is accessible.	2	237	12	1	0		35	0	Remove compressor air filter cap and filter. Now the engine air filter is accessible.		
3.	Check the engine air filter by removing the air filter cleaner body cover. Check for dust in the body and on the air filter. Wipe clean and shake off the air filter if dusty, then clean and replace. You can also blow off the air filter with compressed air.  Avoid getting dust into the air inlet duct work. Note: Air filter cover is marked TOP to ensure that the cover is returned to the air filter body correctly.	2	237	12	1	0		35	0	Wipe clean and shake off the air filter if dusty, then clean and replace. You can also blow off an air filter with compressed gas. Avoid getting dust into the inlet duct work. Check for dust in the body and on		
4.	Check the engine oil (dipstick).	2	237	12	1	0		35	0	Check the engine oil (dipstick).		
5.	Check for leaks inside the engine compartment.	2	237	12	1	0		35	0	Check for leaks inside the engine compartment.		
6.	Check engine alternator fan belt for fraying, cuts or other physical defects.	2	237	12	1	0		35	0	Check engine alternator fan belt for fraying, cuts or other physical defects.		
7.	Contact CLS if any problems are encountered.	2	237	12	1	0		35	0	Contact CLS if any problems are encountered.		
	Integrated Fuel Primer Pump Knob	-1	238	12	1	0		35	1	Integrated Fuel Primer Pump Knob		
	Drain Cock	-1	239	12	1	0		35	1	Drain Cock		
	Changeable Filter Body	-1	240	12	1	0		35	1	Changeable Filter Body		
	Plastic Bowl Separator	-1	241	12	1	0		35	1	Plastic Bowl Separator	IS REUSEABLE cover removed)	
	DO NOT DISPOSE OF	-1	241	12	1	0		35	1	DO NOT DISPOSE OF		
	THE SEPARATOR – IT	-1	241	12	1	0		35	1	THE SEPARATOR – IT		
	IS REUSEABLE cover removed)	-1	241	12	1	0		35	0	IS REUSEABLE cover removed)		
	When finished with these checks, replace the top engine access panel and secure the latches.	-1	242	12	1	0		35	0	When finished with these checks, replace the top engine access panel and secure the latches.	When finished with these checks, replace the top engine access panel and secure the latches. If the engine is hard to start or starts briefly and stalls due to lack of fuel flow, contact CLS.	
	If the engine is hard to start or starts briefly and stalls due to lack of fuel flow, contact CLS.	-1	242	12	1	0		35	0	If the engine is hard to start or starts briefly and stalls due to lack of fuel flow, contact CLS.		
	ENGINE SERVICE INTERVALS	-1	242	12	1	0		35	1	ENGINE SERVICE INTERVALS		
	OIL CHANGE INTERVAL:	-1	242	12	1	0		35	1	OIL CHANGE INTERVAL:		
	Oil Change (Initial): 50 hours Oil Change (Subsequent): 100 hours Oil Filter Cartridge Change:   200 hours	-1	243	12	1	0		35	0	Oil Change (Initial): 50 hours Oil Change (Subsequent): 100 hours Oil Filter Cartridge Change:   200 hours	Oil Change (Initial): 50 hours Oil Change (Subsequent): 100 hours Oil Filter Cartridge Change:   200 hours In dusty environments, oil, oil filters and air filters may need to be checked and changed more frequently.	
	In dusty environments, oil, oil filters and air filters may need to be checked and changed more frequently.	-1	243	12	1	0		35	0	In dusty environments, oil, oil filters and air filters may need to be checked and changed more frequently.		
6.2	PMCS OF THE COMPRESSOR	0	244	12	2	0	PMCS OF THE COMPRESSOR	36	0	PMCS OF THE COMPRESSOR		If air filter is clean, replace the cover;. If not, replace it before installing new one - and check for leaks in compressor compartment 'before you reinstall it' Compressor oil level must be checked when system runs as oil is being pulled from reservoir. Limit switch set at 110pi is factory preset, so contact CLS – or 110pn if setting too high. Change the filters more frequently in dusty environments or mixing dusty decontaminant powders such like STB or H
	CAUTION! Turn Main Air Control to the ‘OFF’ position before servicing compressor!	-1	245	12	2	0		36	0	CAUTION! Turn Main Air Control to the ‘OFF’ position before servicing compressor!	CAUTION! Turn Main Air Control to the ‘OFF’ position before servicing compressor!	
	Perform the following checks on the compressor:	-1	246	12	2	0		36	0	Perform the following checks on the compressor:	Perform the following checks on the compressor:	
1.	Check compressor air filter for dust. Clean if needed - filter needs to be dry. If air filter is clean, replace the filter cover; if not, replace the air filter before reinstalling filter cover.	2	247	12	2	0		36	0	Check compressor air filter for dust. Clean if needed - filter needs to be dry. If air filter is clean, replace the filter cover; if not, replace the air filter before reinstalling filter cover.	If air filter is clean, replace the cover;. If not, replace it before installing new one - and check for leaks in the compressor compartment 'before reinstalling it' contact CLS unless adjustment of drive belt is required! Check that all the hose connector are in place. See Figure 64. Click here to get started. Read more about how to check your compressor. Pressure setting on the control panel. Regul	
2.	Check compressor oil level.	2	247	12	2	0		36	0	Check compressor oil level.		
3.	Check the air pressure setting on the air compressor gauge (control panel). Regulated pressure should be at 100 psi and the Limit Switch at 115 psi. See Figure 67. Contact CLS if the adjustment is out of specification.	2	247	12	2	0		36	0	Check the air pressure setting on the air compressor gauge (control panel). Regulated pressure should be at 100 psi and the Limit Switch at 115 psi. See Figure 67. Contact CLS if the adjustment is out of specification.		
4.	Check compressor drive belt for fraying, cuts or other physical defects. It should twist no more than ½ twist. Contact CLS if adjustment of the belt is required.	2	247	12	2	0		36	0	Check compressor drive belt for fraying, cuts or other physical defects. It should twist no more than ½ twist. Contact CLS if adjustment of the belt is required.		
5.	Check for leaks in the compressor compartment.	2	247	12	2	0		36	0	Check for leaks in the compressor compartment.		
6.	Check that all the hoses and connectors are in place.	2	247	12	2	0		36	0	Check that all the hoses and connectors are in place.		
7.	Contact CLS if any problems are encountered.	2	247	12	2	0		36	0	Contact CLS if any problems are encountered.		
	Compressor Oil Sight Glasses are located on the right side of the power unit. The oil level must always be visible in the lower glass. When the system is not running, the proper oil level in the upper sight glass creates a line across the upper portion of the glass. If compressor oil is low, remove the side access panel of the power module and then remove the oil plug. Add the oil. Once the oil is added, reinstall the oil plug, check for leaks, and replace the side access panel.	-1	248	12	2	0		36	0	The proper oil level in the upper sight glass creates a line across the upper portion of it. If compressor oil is low, remove the side access panel and then remove an oil plug if necessary reinstall the oil plug -	The proper oil level in the upper sight glass creates a line across the upper portion of it. If compressor oil is low, remove the side access panel and then remove an oil plug if necessary reinstall the oil plug -	
	WARNING! DO NOT attempt to run the system if the compressor oil level is not visible in the top sight glass. Compressor oil level must not be checked when the system is running as oil is being pulled from the reservoir.	-1	249	12	2	0		36	0	WARNING! DO NOT attempt to run the system if the compressor oil level is not visible in the top sight glass. Compressor oil level must not be checked when the system is running as oil is being pulled from the reservoir.	WARNING! DO NOT attempt to run the system if the compressor oil level is not visible in the top sight glass. Compressor oil level must not be checked when the system is running as oil is being pulled from the reservoir.	
	Compressor Oil Fill	-1	250	12	2	0		36	1	Compressor Oil Fill		
	Compressor Oil Sight Glasses	-1	250	12	2	0		36	1	Compressor Oil Sight Glasses		
	Remove air intake filter cover by unsnapping the clips.  Remove cover to expose filters.  NOTE – There is an inner and outer filter. Both filters simply pull out of the housing.  Dust can be blown off with compressed air. Replace if necessary. NOTE: ALL air filters must be replaced after a real-world decontamination mission, as the filters may have trapped CBRN contamination in them.	-1	251	12	2	0		36	0	Remove air intake filter cover by unsnapping the clips. Remove cover to expose filters - both pull out of housing – and dust can be blown off with compressedair if necessary! ALL air filters must be replaced	Remove air intake filter cover by unsnapping the clips. Remove cover to expose filters - both pull out of housing – and dust can be blown off with compressedair if necessary! ALL air filters must be replaced	
	Compressor Air Pressure Gauge Setting – Check the compressor air pressure gauge to ensure it is in the correct position, with the Limit Switch set at 115 psi. This gauge setting is a factory preset. Contact CLS if the pressure gauge is not set correctly. The gauge needle should read between 100	-1	252	12	2	0		36	0	The limit switch is set at 115psi and the gauge needle should read between 100-120mm. This gauge setting is factory preset, so contact CLS if it is not set correctly – or if it	The limit switch is set at 115psi and the gauge needle should read between 100-120mm. This gauge setting is factory preset, so contact CLS if it is not set correctly – or if it	
	Compressor Air Intake Filter Cover Clips	-1	253	12	2	0		36	1	Compressor Air Intake Filter Cover Clips		
	Compressor Outer Air Intake Filter	-1	254	12	2	0		36	1	Compressor Outer Air Intake Filter		
	Compressor Inner Air Intake Filter	-1	255	12	2	0		36	1	Compressor Inner Air Intake Filter		
	– 110 psi when operating. If it rises above 115 psi the system will automatically shut down to protect the operator and equipment. Contact CLS if the Limit Switch appears to be out of adjustment.	-1	256	12	2	0		36	0	– 110 psi when operating. If it rises above 115 psi the system will automatically shut down to protect the operator and equipment. Contact CLS if the Limit Switch appears to be out of adjustment.	– 110 psi when operating. If it rises above 115 psi the system will automatically shut down to protect the operator and equipment. Contact CLS if the Limit Switch appears to be out of adjustment.	
	CAUTION! The Limit Switch setting of 115 psi is a factory preset. Contact CLS if it is not at this setting.	-1	257	12	2	0		36	0	CAUTION! The Limit Switch setting of 115 psi is a factory preset. Contact CLS if it is not at this setting.	CAUTION! The Limit Switch setting of 115 psi is a factory preset. Contact CLS if it is not at this setting.	
	Compressor Oil Filter – Change the filter initially at 50 hours of run time then 500 hours or annually, whichever is sooner.  Change the filter more frequently in dusty environments or if mixing dusty decontaminant powders such as STB or HTH, immediately after the mission.	-1	258	12	2	0		36	0	Compressor Oil Filter – Change the filter initially at 50 hours of run time then 500 hours or annually, whichever is sooner.  Change the filter more frequently in dusty environments or if mixing dusty decontaminant powders such as STB or HTH, immediately after the mission.	Compressor Oil Filter – Change the filter initially at 50 hours of run time then 500 hours or annually, whichever is sooner.  Change the filter more frequently in dusty environments or if mixing dusty decontaminant powders such as STB or HTH, immediately after the mission. If the unit is being used in rough and dusty environments, the air filters may need to be changed sooner. Change the filter more frequently in dust-filled environments or mixing dusts such as STB or HTH, immediately after	
	Compressor Oil/Air Filter – Change initially at 50 hours of run time and then 500 hours or annually, whichever comes first. If the unit is being used in rough and dusty terrain, the air filters may need to be changed sooner. Change the filter more frequently in dusty environments or if mixing dusty decontaminant powders such as STB or HTH, immediately after the mission.	-1	258	12	2	0		36	0	If the unit is being used in rough and dusty environments, the air filters may need to be changed sooner. Change the filter more frequently in dust-filled environments or mixing dusts such as STB or HTH, immediately after		
6.3	PMCS OF BATTERY	0	259	12	3	0	PMCS OF BATTERY	37	0	PMCS OF BATTERY		Open the battery box and inspect/check battery terminals for corrosion and clean if required. Look at the expiration date of the battery. Replace if weak or at expiration date. Separates oil particles from the compressed air
1.	Open the battery box and inspect/check battery terminals for corrosion and clean if required.	2	260	12	3	0		37	0	Open the battery box and inspect/check battery terminals for corrosion and clean if required.	Open the battery box and inspect/check battery terminals for corrosion and clean if required. Look at the expiration date of the battery. Replace if weak or at expiration date.	
2.	Look at the expiration date of the battery.	2	260	12	3	0		37	0	Look at the expiration date of the battery.		
a.	Replace if weak or at expiration date.	2	260	12	3	0		37	0	Replace if weak or at expiration date.		
	Compressor Oil/Air Filter	-1	261	12	3	0		37	1	Compressor Oil/Air Filter	Separates oil particles from the compressed air	
	Separates oil particles from the compressed air	-1	261	12	3	0		37	0	Separates oil particles from the compressed air		
	Compressor Oil Filter	-1	261	12	3	0		37	1	Compressor Oil Filter		
	Limit Switch	-1	261	12	3	0		37	1	Limit Switch		
	Gauge Needle	-1	261	12	3	0		37	1	Gauge Needle		
6.4	PMCS OF FUEL & FUEL SUPPLY FITTINGS	0	262	12	4	0	PMCS OF FUEL & FUEL SUPPLY FITTINGS	38	0	PMCS OF FUEL & FUEL SUPPLY FITTINGS		USE ONLY DIESEL FUEL (No gasoline) – using the wrong fuel type WILL result in system damage! ONLY use non-metal containers. The system will run on JP-4, JP-5 and JP-8 grade Diesel fuels. Inspect the fuel connections (supply and return) for any evidence of leaks. Ensure all air discharge ports are properly capped and all valves are in closed/off position.
1.	USE ONLY DIESEL FUEL (No gasoline) – using the wrong fuel type WILL result in system damage! ONLY use non-metal containers. The system will run on JP-4, JP-5 and JP-8 grade Diesel fuels.	2	263	12	4	0		38	0	USE ONLY DIESEL FUEL (No gasoline) – using the wrong fuel type WILL result in system damage! ONLY use non-metal containers. The system will run on JP-4, JP-5 and JP-8 grade Diesel fuels.	USE ONLY DIESEL FUEL (No gasoline) – using the wrong fuel type WILL result in system damage! ONLY use non-metal containers. The system will run on JP-4, JP-5 and JP-8 grade Diesel fuels. Inspect the fuel connections (supply and return) for any evidence of leaks. Ensure all air discharge ports are properly capped and all valves are in closed/off position.	
2.	Inspect the fuel connections (supply and return) for any evidence of leaks.	2	263	12	4	0		38	0	Inspect the fuel connections (supply and return) for any evidence of leaks.		
3.	Ensure all air discharge ports are properly capped and all valves are in closed/off position.	2	263	12	4	0		38	0	Ensure all air discharge ports are properly capped and all valves are in closed/off position.		
6.5	PMCS OF TANKS	0	264	12	5	0	PMCS OF TANKS	39	0	PMCS OF TANKS		Verify the Fluid In/Drain valve is completely closed (no evidence of liquid leakage). Verify the Hopper Blender cover is securely attached. Fuel supply connections Check Fluid Input port for leaks. Check Draft Input port for leaks. Check the ratchet tie down straps daily to ensure they are tight to the vehicle or trailer.
1.	Verify the Fluid In/Drain valve is completely closed (no evidence of liquid leakage).	2	265	12	5	0		39	0	Verify the Fluid In/Drain valve is completely closed (no evidence of liquid leakage).	Verify the Fluid In/Drain valve is completely closed (no evidence of liquid leakage). Verify the Hopper Blender cover is securely attached.	
2.	Verify the Hopper Blender cover is securely attached.	2	265	12	5	0		39	0	Verify the Hopper Blender cover is securely attached.		
	Fuel supply connections	-1	266	12	5	0		39	0	Fuel supply connections	Fuel supply connections	
3.	Check Fluid Input port for leaks.	2	267	12	5	0		39	0	Check Fluid Input port for leaks.	Check Fluid Input port for leaks. Check Draft Input port for leaks. Check the ratchet tie down straps daily to ensure they are tight to the vehicle or trailer.	
4.	Check Draft Input port for leaks.	2	267	12	5	0		39	0	Check Draft Input port for leaks.		
5.	Check the ratchet tie down straps daily to ensure they are tight to the vehicle or trailer.	2	267	12	5	0		39	0	Check the ratchet tie down straps daily to ensure they are tight to the vehicle or trailer.		
	Fluid Input	-1	268	12	5	0		39	1	Fluid Input		
	Fluid In/Drain	-1	268	12	5	0		39	1	Fluid In/Drain		
	Draft Input	-1	268	12	5	0		39	1	Draft Input		
	Hopper Blender Cover	-1	269	12	5	0		39	1	Hopper Blender Cover		
7.0	VMDS OPERATION	0	270	13	0	0	VMDS OPERATION	40	0	VMDS OPERATION	NOTE: Ensure that SELECTOR VALVES, PUMP CONTROL VALVE and AIR CONTROL VALVE are all in the OFF position before starting Power Unit.	NOTE: Ensure that SELECTOR VALVES, PUMP CONTROL VALVE and AIR CONTROL VALVE are all in the OFF position before starting Power Unit.
	NOTE: Ensure that SELECTOR VALVES, PUMP CONTROL VALVE and AIR	-1	270	13	0	0		40	0	NOTE: Ensure that SELECTOR VALVES, PUMP CONTROL VALVE and AIR		
	CONTROL VALVE are all in the OFF position before starting Power Unit.	-1	270	13	0	0		40	0	CONTROL VALVE are all in the OFF position before starting Power Unit.		
7.1	POWER UNIT STARTING PROCEDURE	0	271	13	1	0	POWER UNIT STARTING PROCEDURE	41	0	POWER UNIT STARTING PROCEDURE		Press the GREEN start button ONE TIME . Status display in window shows software loading. Press the GREEN start engine button a second time ; the RED LED glow plug light will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal. The engine will not restart properly if it is under a compressed air load. Click on the RED stop button (3) twice to hear the engine RPMs drop - this means the compressor has engaged and the unit is fully operational Push the RED Stop button 1 time and the power unit will shut down.
1.	Press the GREEN start button ONE TIME . Status display in window shows software loading.	2	272	13	1	0		41	0	Press the GREEN start button ONE TIME . Status display in window shows software loading.	Press the GREEN start button ONE TIME . Status display in window shows software loading. Press the GREEN start engine button a second time ; the RED LED glow plug light will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal. The engine will not restart properly if it is under a compressed air load. Click on the RED stop button (3) twice to hear the engine RPMs drop - this means the compressor has engaged and the unit is fully operational	
2.	Press the GREEN start engine button a second time ; the RED LED glow plug light will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal.	2	272	13	1	0		41	0	Press the GREEN start engine button a second time ; the RED LED glow plug light will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal.		
3.	After the engine starts there will be a 10 second delay before the compressor will engage. Once you hear the engine RPMs drop, this means the compressor is now engaged and the unit is fully operational. NOTE – If the engine stalls for any reason, press the RED stop button (3) twice. Wait at least a minute before attempting to restart. The engine will not restart properly if it is under a compressed air load .	2	272	13	1	0		41	0	The engine will not restart properly if it is under a compressed air load. Click on the RED stop button (3) twice to hear the engine RPMs drop - this means the compressor has engaged and the unit is fully operational		
	Stop/Emergency Stop	-1	273	13	1	0		41	1	Stop/Emergency Stop	Push the RED Stop button 1 time and the power unit will shut down.	
	Push the RED Stop button 1 time and the power unit will shut down.	-1	273	13	1	0		41	0	Push the RED Stop button 1 time and the power unit will shut down.		
2		2	274	13	1	0		41	1			
3		2	274	13	1	0		41	1			
1		2	275	13	1	0		41	1			
7.2	VMDS OPERATION PROCEDURES	0	276	13	2	0	VMDS OPERATION PROCEDURES	42	0	VMDS OPERATION PROCEDURES		Truck and trailer tanks cannot be used simultaneously. Operator may, however begin pumping while conducting mission operations with the other tank - but no other operations are possible if in DRAFT mode! Draft from natural water source, such as stream or lake, must not damage pump spool. Use strainer and bucket to ensure that particles donot draft into system if available; this can damage pump shaft. Only one tank is allowed per mission. When in
	The VMDS has several methods of operation which include two (2) discharge hoses with D-Baled handles and nozzle(s), front and rear spray bars and a monitor. There are specific hose connection configurations (see Section 10.2 of this manual) for each specific operational mode. The graphic below shows the location of truck and trailer components. Refer to Section 2.0 (Location and Description of Operator Controls and Indicators) of this manual for additional system locators.	-1	277	13	2	0		42	0	There are specific hose connection configurations for each particular operational mode. The graphic below shows location of truck and trailer components - see Section 2.0 (Location and Description) of this manual if you need additional system locators	Truck and trailer tanks cannot be used simultaneously. Operator may, however begin pumping while conducting mission operations with the other tank - but no other operations are possible if in DRAFT mode! Draft from natural water source, such as stream or lake, must not damage pump spool. Use strainer and bucket to ensure that particles donot draft into system if available; this can damage pump shaft. Only one tank is allowed per mission. When in	
	Truck and trailer tanks cannot be used simultaneously. Operator may, however, begin agitation of decontaminant in one tank while conducting mission operations with the other tank. When in DRAFT mode, no other operations are possible.	-1	277	13	2	0		42	0	Truck and trailer tanks cannot be used simultaneously. Operator may, however, begin agitation of decontaminant in one tank while conducting mission operations with the other tank. When in DRAFT mode, no other operations are possible.		
	Fill the fluid tank(s).  The fluid tank(s) may be filled by a hose through the hopper blender or straight into the tank. Do not attempt to attach the Power Unit directly to a fire hydrant!	-1	277	13	2	0		42	0	Fill the fluid tank(s).  The fluid tank(s) may be filled by a hose through the hopper blender or straight into the tank. Do not attempt to attach the Power Unit directly to a fire hydrant!		
	During filling operations, monitor the water level at all times by looking in the hopper-blender hole or at the fluid tank level indicator (measuring tape).   Use clean water when possible. If you are drafting from a natural water source, such as a stream, pond or lake you MUST use the strainer and a bucket to ensure that particles and/or debris are not drafted into the system. These materials can clog lines and damage the pump.	-1	277	13	2	0		42	0	Drafting from a natural water source, such as stream or lake, must be clean. Use strainer and bucket to ensure that particles are not drafted into system if possible; this can damage pump spool - but		
7.2.1	Suction Main Hose (SM)	0	278	13	2	1	Suction Main Hose (SM)	43	0	Suction Main Hose (SM)		A clear, blue rigid PVC 40-inch, 1.5 inch diameter connects to the power unit and tank with female to male connections. It has Black Banded ends. This hose remains in this configuration for all modes of operation WARNING: Ensure nozzle(s) are pointed in a safe direction before operation! Failure to do so may result in significant injury.
	This is the main fluid hose that draws liquid into the power unit from the tank. It is a clear, blue rigid PVC 40-inch, 1.5-inch diameter hose that connects to the power unit and tank with female to female connections. It has Black Bands. This hose remains in this configuration for all modes of operation of the VMDS.	-1	279	13	2	1		43	0	A clear, blue rigid PVC 40-inch, 1.5 inch diameter connects to the power unit and tank with female to male connections. It has Black Banded ends. This hose remains in this configuration for all modes of operation	A clear, blue rigid PVC 40-inch, 1.5 inch diameter connects to the power unit and tank with female to male connections. It has Black Banded ends. This hose remains in this configuration for all modes of operation	
	Fluid Out Fluid In	-1	280	13	2	1		43	1	Fluid Out Fluid In		
	Power Unit	-1	280	13	2	1		43	1	Power Unit		
	Trailer Hopper/Blender	-1	281	13	2	1		43	1	Trailer Hopper/Blender		
	Suction Main Hose	-1	282	13	2	1		43	1	Suction Main Hose		
	Truck Hopper/Blender	-1	283	13	2	1		43	1	Truck Hopper/Blender		
	Truck Tank	-1	284	13	2	1		43	1	Truck Tank		
	Agitator Trailer	-1	284	13	2	1		43	1	Agitator Trailer		
	Fluid Out Trailer Trailer Tank	-1	285	13	2	1		43	1	Fluid Out Trailer Trailer Tank		
	Fluid Out Truck	-1	286	13	2	1		43	1	Fluid Out Truck		
	Agitator Truck Tank	-1	287	13	2	1		43	1	Agitator Truck Tank		
	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation!	-1	288	13	2	1		43	0	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation!	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation! Failure to do so may result in significant injury.	
	Failure to do so may result in significant injury.	-1	288	13	2	1		43	0	Failure to do so may result in significant injury.		
7.2.2	Filling the Holding Tank	0	289	13	2	2	Filling the Holding Tank	44	0	Filling the Holding Tank	There are 2 methods by which to fill the fluid tank of the VMDS.	A fire hydrant should not be connected directly to the VMDS power unit. Introducing pressurized water through the Power Unit will cause significant system damage! An adaptor may be required to connect to the fire-hydrants if necessary ; NEVER connect nozzle(s) directly into the VMDS power unit unless it is in'safe direction' before operation... Failure to do so may result with significant injury & damage. Click here for more information on how to fill the fluid tank of the
	There are 2 methods by which to fill the fluid tank of the VMDS.	-1	289	13	2	2		44	0	There are 2 methods by which to fill the fluid tank of the VMDS.		
	7.2.2.1  Draft Fill:	-1	289	13	2	2		44	1	7.2.2.1  Draft Fill:		
•	Turn Air Control (17) to OFF position; Turn Pump Control (7) to OFF position;	1	290	13	2	2		44	0	Turn Air Control (17) to OFF position; Turn Pump Control (7) to OFF position;	Turn Air Control (17) to OFF position; Turn Pump Control (7) to OFF position; Attach Filter Basket to one end of a Blue Band hose; Connect the Blue Band hose to the Draft Input (1) port on the front of the Power Unit, ensuring that the filter basket is attached to the end submerged in the water source or blivit; Connect the White Band hose to the Draft Output (2) port on the back of the Power Unit with the other end attached to the Hopper/Blender Input (3) on holding tank;	
•	Attach Filter Basket to one end of a Blue Band hose;	1	290	13	2	2		44	0	Attach Filter Basket to one end of a Blue Band hose;		
•	Connect the Blue Band hose to the Draft Input (1) port on the front of the Power Unit, ensuring that the filter basket is attached to the end submerged in the water source or blivit;	1	290	13	2	2		44	0	Connect the Blue Band hose to the Draft Input (1) port on the front of the Power Unit, ensuring that the filter basket is attached to the end submerged in the water source or blivit;		
•	Connect the White Band hose to the Draft Output (2) port on the back of the Power Unit with the other end attached to the Hopper/Blender Input (3) on holding tank;	1	290	13	2	2		44	0	Connect the White Band hose to the Draft Output (2) port on the back of the Power Unit with the other end attached to the Hopper/Blender Input (3) on holding tank;		
•	Start Power Unit (4);	1	290	13	2	2		44	1	Start Power Unit (4);		
•	Set Selector 1 (5) to DRAFT, Selector 2 (6) to OFF;	1	291	13	2	2		44	0	Set Selector 1 (5) to DRAFT, Selector 2 (6) to OFF;	Set Selector 1 (5) to DRAFT, Selector 2 (6) to OFF; SLOWLY turn on Pump Control (7) to full ON position; Once tank is filled, SLOWLY turn Pump Control (7) to full OFF position; Set Selector 1 (5) to OFF Turn Power Unit (4) off.	
•	SLOWLY turn on Pump Control (7) to full ON position;	1	291	13	2	2		44	0	SLOWLY turn on Pump Control (7) to full ON position;		
•	Fill tank	1	291	13	2	2		44	1	Fill tank		
•	Once tank is filled, SLOWLY turn Pump Control (7) to full OFF position;	1	291	13	2	2		44	0	Once tank is filled, SLOWLY turn Pump Control (7) to full OFF position;		
•	Set Selector 1 (5) to OFF	1	291	13	2	2		44	0	Set Selector 1 (5) to OFF		
•	Turn Power Unit (4) off.	1	291	13	2	2		44	0	Turn Power Unit (4) off.		
7.2.2.2	Hydrant Fill:	0	292	13	2	2		44	1	Hydrant Fill:	WARNING: NEVER connect a fire hydrant directly to the VMDS Power Unit.	
	WARNING: NEVER connect a fire hydrant directly to the VMDS Power Unit.	-1	292	13	2	2		44	0	WARNING: NEVER connect a fire hydrant directly to the VMDS Power Unit.		
	Introducing pressurized water directly through the Power Unit will cause significant system damage!	-1	293	13	2	2		44	0	Introducing pressurized water directly through the Power Unit will cause significant system damage!	Introducing pressurized water directly through the Power Unit will cause significant system damage!	
	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation!	-1	294	13	2	2		44	0	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation!	WARNING: Ensure nozzle(s) are pointed in a safe direction before operation! Failure to do so may result in significant injury.	
	Failure to do so may result in significant injury.	-1	294	13	2	2		44	0	Failure to do so may result in significant injury.		
•	Connect the White Band hose to the Hopper/Blender (3) on the holding tank and the other end to the fire hydrant. NOTE: An adaptor may be required to connect to the fire hydrant.	1	295	13	2	2		44	0	Connect the White Band hose to the Hopper/Blender (3) on the holding tank and the other end to the fire hydrant. NOTE: An adaptor may be required to connect to the fire hydrant.	Connect the White Band hose to the Hopper/Blender (3) on the holding tank and the other end to the fire hydrant. NOTE: An adaptor may be required to connect to the fire hydrant. SLOWLY turn hydrant on and fill tank; Once tank is full, SLOWLY turn hydrant off.	
•	SLOWLY turn hydrant on and fill tank;	1	295	13	2	2		44	0	SLOWLY turn hydrant on and fill tank;		
•	Once tank is full, SLOWLY turn hydrant off.	1	295	13	2	2		44	0	Once tank is full, SLOWLY turn hydrant off.		
7.2.3	Drafting Operation	0	296	13	2	3	Drafting Operation	45	0	Drafting Operation		Ec.gov: tank is not sealed and must be cleaned every 30 minutes - no leakage of decontaminant will occur during this time! Check with your local water authority to ensure that the filter basket is attached to end submerged in water source or blivit if you have a blivit hose. Follow these steps to avoid injury by removing nozzles from tank. Click here for more information on how to remove decontaminated tanks & equipment based on your location / situation...and
